Year,Neighborhood,AverageSalePrice,MedianSalePrice,AverageCostPerSqFoot,AverageDaysOnMarket,CountHomesSold,CondoSalesPercentage,MedianOneYearPriceChangePercentage,MedianFiveYearPriceChangePercentage,DistressedPropertySalesPercentage,AverageYearBuilt,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Adjusted population,"Adjusted population density (people per sq. mi., excluding parks and industrial tracts)",Median age,Median household income ($),Home ownership (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),Renters - median monthly housing expenses ($),People below federal poverty level (%),Unemployed (16 years and older) (%),English as only language (%),Percent of families with children under 18 years (%),Population in same house last year (%),Population in different county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Aggravated assault,Arson,Burglary,Homicide,Larceny,Rape,Robbery,Vehicle thefts,Nonviolent crimes,Violent crimes,"Crimes per 1,000 residents",Parks and natural areas (Acres),Parks (% of neighborhood),Minutes by car to downtown (est.),Commute by public transit (%),Commute by bike (%),Commute by walking (%),Commute by biking and walking (%),Number of Max/streetcar lines,Number of TriMet bus lines,Number of transit lines (bus/MAX/streetcar),"Miles of bike routes (lanes, boulevards, multiuse paths)",Miles of bike routes (all) per square mile,Walk score,Percent of households with children under 18 years (%),Total Newcomers (%),"Adjusted population density (people per square mile, excluding parks and industrial tracts)",Sexual offenses,Number of Max/streetcar/tram lines,Number of transit lines (bus/MAX/streetcar/tram),Population in different Oregon county last year (%),Assault,Vandalism (not included in violent/nonviolent total),Drug/narcotic offenses (not included in violent/nonviolent total),"Commute by transit, biking, and walking (%)",Share of 2020 sales that were condos (%),Number of Short Sales,Number of Bank Owned,Average square footage of homes sold,Renters’ median monthly housing ($),Population,Population density people per sq mile),Homeownership (%),Households with children under 18 (%),People who speak other language(s) (%),Total newcomers (%),Sex offenses,Vandalism,Drug/narcotic offenses,"Violent crimes per 1,000 residents","Burglary/larceny/vehicle theft crimes per 1,000 residents",Walk Score,Commute by other non-car means (including cycling) (%)
2015,BRIDGETON,269235.0,253000.0,154.0,55.0,23.0,17.0,15.0,5.0,0.0,1989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BRIDLEMILE,540722.0,486250.0,191.0,41.0,82.0,0.0,0.0,4.0,5.0,1969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BROOKLYN,367018.0,362500.0,177.0,26.0,52.0,0.0,10.0,27.0,2.0,1947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BUCKMAN,451172.0,415000.0,194.0,24.0,63.0,22.0,11.0,28.0,0.0,1924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,CATHEDRAL PARK,257836.0,260000.0,159.0,33.0,74.0,22.0,3.0,24.0,15.0,1957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,CENTENNIAL,182760.0,181450.0,127.0,62.0,298.0,4.0,11.0,-9.0,20.0,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,COLLINS VIEW,430891.0,359000.0,192.0,52.0,35.0,0.0,6.0,1.0,6.0,1970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,CONCORDIA,382108.0,380000.0,187.0,30.0,192.0,5.0,6.0,27.0,2.0,1943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,CRESTON-KENILWORTH,333469.0,335000.0,174.0,28.0,116.0,1.0,18.0,22.0,2.0,1942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,CRESTWOOD,314347.0,310000.0,170.0,57.0,25.0,0.0,7.0,1.0,4.0,1971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,CULLY,255542.0,240000.0,163.0,43.0,176.0,6.0,5.0,3.0,8.0,1956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,DOWNTOWN,351819.0,324500.0,331.0,59.0,151.0,99.0,0.0,-5.0,3.0,1979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,EAST COLUMBIA,223131.0,190000.0,141.0,58.0,17.0,0.0,-7.0,-14.0,24.0,1974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,EASTMORELAND,632683.0,612000.0,209.0,38.0,102.0,0.0,13.0,14.0,3.0,1936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ELIOT,379427.0,372450.0,187.0,36.0,56.0,25.0,8.0,18.0,7.0,1950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,FAR SOUTHWEST,343405.0,317000.0,160.0,74.0,34.0,0.0,-9.0,-8.0,3.0,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,FOREST PARK,968215.0,751000.0,219.0,99.0,30.0,0.0,11.0,-6.0,3.0,1991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,FOSTER-POWELL,264982.0,255000.0,164.0,47.0,143.0,0.0,10.0,16.0,8.0,1954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,GLENFAIR,208202.0,199500.0,117.0,58.0,16.0,0.0,13.0,-7.0,19.0,1980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,GOOSE HOLLOW,301081.0,263750.0,278.0,63.0,92.0,93.0,3.0,-12.0,4.0,1975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,GRANT PARK,624512.0,573242.0,221.0,23.0,55.0,0.0,17.0,5.0,0.0,1923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,HAYDEN ISLAND,218636.0,172000.0,165.0,137.0,79.0,61.0,-15.0,-23.0,6.0,1982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,HAYHURST,371268.0,360000.0,185.0,39.0,99.0,3.0,9.0,6.0,2.0,1962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,HAZELWOOD,194614.0,192000.0,125.0,51.0,207.0,11.0,4.0,-7.0,14.0,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,HEALY HEIGHTS,990000.0,900000.0,235.0,37.0,3.0,0.0,-31.0,-5.0,33.0,1968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,HILLSDALE,433240.0,399900.0,195.0,37.0,143.0,12.0,1.0,1.0,3.0,1964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,HILLSIDE,715262.0,665000.0,273.0,60.0,69.0,33.0,12.0,-9.0,3.0,1971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,HOLLYWOOD,493864.0,406200.0,198.0,54.0,16.0,13.0,-7.0,-2.0,6.0,1936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,HOMESTEAD,409378.0,339100.0,212.0,103.0,18.0,39.0,23.0,16.0,6.0,1966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,HOSFORD-ABERNETHY,480500.0,460000.0,207.0,33.0,83.0,11.0,9.0,18.0,2.0,1933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,HUMBOLDT,407733.0,385000.0,178.0,29.0,65.0,2.0,10.0,20.0,3.0,1907.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,IRVINGTON,575819.0,599000.0,208.0,37.0,93.0,22.0,0.0,4.0,1.0,1929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,KENTON,280959.0,270000.0,175.0,29.0,167.0,0.0,13.0,13.0,9.0,1945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,KERNS,360118.0,353500.0,194.0,42.0,37.0,38.0,2.0,33.0,3.0,1931.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,KING,358713.0,347000.0,178.0,33.0,107.0,4.0,5.0,18.0,4.0,1942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,LAURELHURST,599062.0,543950.0,200.0,36.0,100.0,0.0,2.0,11.0,2.0,1926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,LENTS,195211.0,185500.0,130.0,57.0,262.0,0.0,15.0,-7.0,12.0,1960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,LINNTON,289719.0,274950.0,161.0,134.0,16.0,31.0,30.0,-23.0,13.0,1963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,LLOYD DISTRICT,255060.0,186500.0,269.0,22.0,10.0,100.0,45.0,18.0,0.0,1994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,MADISON SOUTH,238185.0,224000.0,139.0,38.0,103.0,5.0,8.0,7.0,7.0,1950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,MAPLEWOOD,390002.0,380000.0,178.0,47.0,53.0,8.0,15.0,6.0,4.0,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,MARKHAM,354397.0,334000.0,167.0,59.0,47.0,0.0,2.0,-6.0,11.0,1961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,MARSHALL PARK,435227.0,426400.0,193.0,45.0,26.0,0.0,12.0,5.0,8.0,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,MILL PARK,183344.0,180750.0,125.0,51.0,76.0,14.0,2.0,-10.0,14.0,1963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,MONTAVILLA,253216.0,245000.0,154.0,38.0,291.0,6.0,14.0,14.0,8.0,1945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,MT. SCOTT-ARLETA,257941.0,245000.0,168.0,33.0,163.0,0.0,11.0,9.0,6.0,1949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,MT. TABOR,465801.0,437500.0,192.0,36.0,193.0,5.0,14.0,20.0,2.0,1930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,MULTNOMAH,363337.0,334500.0,185.0,48.0,144.0,19.0,11.0,10.0,5.0,1968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,NORTH TABOR,324100.0,315000.0,188.0,33.0,70.0,13.0,-4.0,12.0,7.0,1952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,NORTHWEST DISTRICT,464320.0,405000.0,304.0,37.0,225.0,69.0,14.0,25.0,3.0,1946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,NORTHWEST HEIGHTS,589558.0,585000.0,200.0,59.0,176.0,12.0,6.0,-3.0,2.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,NORTHWEST INDUSTRIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,OLD TOWN/CHINATOWN,234645.0,232450.0,300.0,63.0,22.0,95.0,24.0,7.0,14.0,1988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,OVERLOOK,350927.0,355000.0,185.0,35.0,129.0,18.0,20.0,14.0,9.0,1947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,PARKROSE,198185.0,194250.0,114.0,70.0,52.0,2.0,5.0,-7.0,25.0,1951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,PARKROSE HEIGHTS,208910.0,206500.0,139.0,39.0,70.0,0.0,12.0,-2.0,19.0,1956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,PEARL DISTRICT,553145.0,439000.0,452.0,57.0,305.0,100.0,6.0,-22.0,2.0,1991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,PIEDMONT,326898.0,322500.0,161.0,25.0,118.0,3.0,7.0,11.0,3.0,1943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,PLEASANT VALLEY,301780.0,287500.0,130.0,64.0,142.0,1.0,9.0,-7.0,15.0,1989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,PORTSMOUTH,254113.0,250000.0,164.0,41.0,182.0,1.0,10.0,10.0,7.0,1965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,POWELLHURST-GILBERT,190451.0,185475.0,124.0,58.0,274.0,16.0,12.0,-5.0,19.0,1978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,REED,387551.0,357500.0,178.0,18.0,40.0,0.0,11.0,3.0,0.0,1958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,RICHMOND,422819.0,417000.0,199.0,24.0,213.0,11.0,15.0,21.0,2.0,1937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ROSE CITY PARK,439590.0,420500.0,190.0,25.0,190.0,0.0,10.0,20.0,2.0,1930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ROSEWAY,296491.0,292000.0,160.0,29.0,153.0,0.0,8.0,2.0,6.0,1940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,RUSSELL,233558.0,225000.0,128.0,65.0,59.0,0.0,7.0,-7.0,19.0,1963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,SABIN,483552.0,465000.0,204.0,23.0,79.0,1.0,4.0,24.0,1.0,1928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,SELLWOOD-MORELAND,432188.0,406250.0,212.0,35.0,200.0,11.0,13.0,16.0,2.0,1946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,SOUTH BURLINGAME,390946.0,399000.0,167.0,39.0,43.0,0.0,14.0,7.0,2.0,1948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,SOUTH PORTLAND,409850.0,359950.0,272.0,55.0,198.0,68.0,1.0,-8.0,5.0,1985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,SOUTH TABOR,300876.0,306000.0,168.0,21.0,95.0,4.0,17.0,19.0,4.0,1951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,SOUTHWEST HILLS,707904.0,640000.0,237.0,63.0,117.0,15.0,3.0,7.0,2.0,1931.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ST. JOHNS,230388.0,227000.0,163.0,43.0,243.0,9.0,14.0,1.0,8.0,1960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
